gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.96463	NA	0.97525	0.99222	0.98381	NA	0.9665	0.97296	NA	0.96537	0.96477	NA	0.97946	0.99014	NA	0.9635	0.92887	NA	NA	0.8785	NA	0.97606	0.95455	NA	0.98191	0.98802	0.9867	0.96856	0.94404	0.98089	0.98069	0.95498	0.97108	NA	NA
ENSG00000005513.11	0.99507	NA	0.99939	0.99944	NA	NA	NA	0.99586	0.99835	0.99769	1.0	0.99731	0.99711	NA	NA	NA	0.99435	0.9968	NA	0.99597	0.99703	NA	0.99252	NA	NA	NA	0.99941	0.99784	NA	NA	0.99716	0.9991	NA	1.0	NA
ENSG00000006015.18	0.86867	0.91853	0.92486	0.96304	0.96678	NA	NA	0.97657	0.90783	NA	0.96537	0.95833	0.87197	0.92706	0.97117	0.96217	NA	NA	NA	NA	0.98298	0.97025	0.98305	NA	0.92042	0.91046	NA	0.96032	NA	0.91068	0.94638	NA	NA	NA	0.929
ENSG00000006128.12	0.9955	1.0	1.0	0.99715	1.0	1.0	0.99014	1.0	0.98174	NA	NA	NA	1.0	1.0	0.99657	NA	0.97741	NA	1.0	1.0	NA	0.98439	1.0	NA	NA	0.99801	0.99904	1.0	NA	0.99789	NA	NA	NA	1.0	0.98038
ENSG00000006327.14	0.86137	0.87403	0.86055	0.82539	0.81698	NA	0.82677	0.84974	0.85773	0.81349	0.83955	0.79453	0.86483	0.85136	0.78628	0.86922	0.83761	0.81361	0.78983	0.82871	0.73787	0.828	0.8301	0.7604	0.88979	0.83475	0.78782	0.8014	0.86389	0.90076	0.85151	0.81893	0.7906	0.86379	0.86492
ENSG00000006377.11	0.97962	0.98252	NA	0.93668	NA	0.99295	NA	NA	0.99096	0.98042	0.9764	NA	NA	0.97679	0.97427	0.98595	0.9927	0.95684	0.9875	0.99592	NA	NA	NA	NA	0.99261	0.94339	0.99688	0.9986	NA	NA	NA	0.99266	NA	0.98737	0.99758
ENSG00000006659.13	0.85546	0.76708	0.73022	0.8201	0.71546	NA	0.81529	0.78292	0.88889	0.84154	0.69416	0.77713	0.75665	0.88291	0.77596	0.82026	0.81431	0.80957	0.78604	0.79487	0.88258	0.87783	0.69896	0.71271	0.82432	0.68555	0.74984	0.69588	0.92145	0.84709	0.69573	0.69355	0.77488	NA	0.88822
ENSG00000011009.11	0.91908	0.91331	0.91667	0.90081	0.90226	NA	0.9323	0.95252	0.93012	0.9218	0.92069	0.93628	0.92822	0.9031	0.90613	0.94344	0.97472	0.904	0.93709	0.8975	0.9146	0.9004	0.92327	0.93326	0.96073	0.66809	0.96671	0.92118	0.91839	0.90746	0.89889	0.95947	0.8975	0.94084	0.86726
ENSG00000013392.8	0.99234	0.99469	0.99177	0.99239	0.99071	NA	0.99195	0.99303	0.99204	0.99177	0.99169	0.98925	0.99299	0.9931	0.99174	0.9931	0.98859	0.99292	0.99297	0.99246	0.99266	0.99242	0.99204	0.99177	0.99275	0.99098	0.99278	0.99292	0.99257	0.99416	0.98992	0.99257	0.9927	NA	0.99275
ENSG00000020129.16	0.99302	0.0	0.9971	0.99309	0.99326	NA	0.99136	0.9994	0.99785	0.99358	0.99855	0.99785	0.80905	0.99848	0.99498	0.99351	NA	0.99582	0.99966	0.99907	0.999	0.99621	0.99155	0.99686	1.0	0.99842	0.99308	0.99224	0.99966	0.99898	0.99918	0.99975	NA	NA	0.99759
ENSG00000026025.16	0.95109	0.97233	0.97722	0.94089	NA	NA	NA	0.98359	NA	NA	0.97383	0.97564	0.96842	NA	0.92238	NA	0.93352	NA	NA	0.95052	NA	0.97596	0.96653	NA	NA	0.97215	0.9615	0.94683	NA	0.97711	NA	NA	0.98214	NA	NA
ENSG00000033100.17	NA	0.99511	1.0	0.99921	1.0	NA	0.99989	0.99854	1.0	NA	0.9891	0.99801	0.99797	0.99987	NA	0.99718	NA	NA	0.99747	0.99761	0.99987	0.99895	NA	0.99889	NA	NA	0.99835	0.99975	0.99548	0.99914	1.0	0.99147	NA	NA	0.99765
ENSG00000034510.6	0.88283	0.84348	0.91522	0.88857	0.87622	0.89314	0.88857	0.87601	0.89565	0.89565	0.84515	0.90445	0.88966	0.88567	0.87973	0.83913	0.87609	0.91172	0.89251	0.87837	0.8864	0.89275	0.88696	0.85435	0.89001	0.87405	0.89574	0.89942	0.88283	0.88696	0.8913	0.88423	0.90662	0.88445	0.87337
