Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	32	na	36	11	43	na	255	87	na	117	85	na	7	62	na	39	0	na	na	608	na	28	21	na	53	65	50	221	83	1	33	291	129	na	na
ENSG00000005513.11	272	na	na	19	na	na	na	218	0	36	na	48	103	na	na	na	74	81	na	168	145	na	62	na	na	na	19	102	na	na	41	27	na	na	na
ENSG00000006015.18	197	20	na	50	38	na	na	na	42	na	na	na	65	na	53	16	na	na	na	na	125	246	na	na	122	274	na	25	na	na	na	na	na	na	251
ENSG00000006128.12	950	na	16	22	39	30	389	0	34	na	na	na	na	12	102	na	171	na	21	0	na	508	12	na	na	79	89	1	na	20	na	na	na	57	837
ENSG00000006327.14	19	5	9	19	13	na	24	62	27	13	90	163	22	87	113	1	98	32	551	5	97	13	49	35	11	108	15	94	172	29	107	95	3	146	40
ENSG00000006377.11	188	0	na	239	na	0	na	na	22	57	0	na	na	317	302	0	0	152	0	58	na	na	na	na	50	232	0	15	na	na	na	0	na	0	0
ENSG00000006659.13	406	93	28	216	138	na	0	402	168	53	33	292	59	864	118	53	38	238	98	0	65	19	0	93	0	34	489	58	0	19	163	91	33	na	115
ENSG00000011009.11	8	13	12	na	47	na	na	183	30	30	na	na	68	59	11	29	25	344	48	71	na	69	na	174	18	30	51	88	501	23	38	159	0	28	na
ENSG00000013392.8	0	0	0	0	0	na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	na	0
ENSG00000020129.16	408	na	0	0	0	na	412	70	4	28	24	21	314	119	328	93	18	126	na	24	103	120	109	55	na	2	115	317	8	16	na	14	na	na	0
ENSG00000026025.16	59	0	1	na	na	na	na	0	na	na	291	17	174	na	42	na	na	na	na	na	na	0	na	na	na	3	0	5	na	na	na	na	39	na	na
ENSG00000033100.17	na	53	28	27	26	na	na	124	15	na	208	0	43	na	na	na	35	na	135	113	na	3	na	73	na	na	76	59	405	na	na	221	na	na	5
ENSG00000034510.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000037042.9	135	129	na	na	89	na	na	1226	na	na	464	450	na	199	113	55	175	203	154	2	185	na	na	45	108	0	222	na	70	na	56	258	na	186	191
ENSG00000037757.14	138	0	61	20	151	1	217	377	65	27	239	43	10	168	772	27	26	na	120	3	625	99	60	26	72	363	39	159	292	43	29	97	66	231	0
ENSG00000039987.7	na	14	151	0	51	na	0	599	na	54	35	166	0	2	na	0	0	na	na	193	0	548	81	96	na	0	335	na	201	124	0	na	na	0	248
ENSG00000041880.15	144	na	3	0	346	47	0	418	na	54	10	181	5	51	117	0	103	48	197	187	63	928	2	0	236	6	47	na	85	na	37	27	0	0	727
ENSG00000043355.12	na	na	na	na	45	na	na	na	na	na	213	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	52	na	na	na	0	na	na	0
ENSG00000044012.4	0	0	0	0	0	na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048462.11	na	na	0	44	239	na	0	1	79	190	2	na	146	891	608	53	na	0	498	0	0	na	na	na	na	na	549	917	1654	203	51	na	0	na	222
ENSG00000053372.5	463	na	na	na	154	na	661	263	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	139	na	na	271	na	55	na	na	na	na	na	16
ENSG00000053438.11	273	na	na	14	na	na	na	na	na	120	49	na	67	na	na	16	70	na	na	na	na	na	na	na	na	na	20	31	na	na	na	na	na	na	na
ENSG00000053501.14	139	31	25	13	na	na	37	23	45	152	84	77	20	0	32	14	21	40	36	18	20	132	29	17	212	3	250	282	0	158	27	8	13	na	12
ENSG00000054148.18	346	29	1	31	54	182	50	na	42	5	16	0	na	36	na	53	190	27	129	na	62	98	78	na	60	391	17	60	na	na	21	233	29	49	67
ENSG00000057757.10	0	na	5	187	44	na	376	359	159	221	7	125	214	127	1134	1	204	371	190	1001	0	25	38	14	43	29	603	24	79	19	31	57	38	59	249
ENSG00000060491.17	718	54	201	34	3	na	6	568	na	9	279	17	669	669	1644	42	83	64	448	105	81	185	7	154	237	703	6	0	6	62	0	203	248	na	5
ENSG00000061492.12	57	55	0	12	438	na	121	74	26	51	133	48	56	0	295	16	58	10	27	320	627	534	36	na	29	54	68	132	159	78	205	35	na	na	127
ENSG00000061656.11	98	na	na	379	31	na	36	140	na	na	67	9	0	11	30	15	7	466	12	54	237	31	49	na	24	11	75	645	528	na	133	21	124	na	61
ENSG00000063322.15	22	21	56	98	37	182	52	122	34	10	152	47	75	26	6	81	37	10	32	31	10	22	na	32	93	0	60	16	0	29	33	23	186	104	na
ENSG00000065518.8	180	na	18	27	118	na	na	na	na	na	na	na	76	na	301	na	27	na	na	23	na	na	na	na	na	na	na	120	78	na	53	na	94	195	na
ENSG00000066379.15	29	22	28	na	na	na	288	na	32	na	393	781	43	30	na	34	na	24	na	205	558	160	24	75	18	20	340	16	190	29	61	96	99	334	136
ENSG00000068079.8	4	na	27	na	na	na	165	na	na	na	27	31	22	330	113	16	na	na	11	na	446	23	26	1	na	294	39	55	40	49	19	9	na	na	23
ENSG00000069482.7	na	na	na	668	544	na	na	0	na	na	na	0	na	1806	na	na	228	na	na	na	224	1083	na	na	0	na	533	na	337	191	0	575	na	na	na
ENSG00000069696.7	0	212	299	744	906	na	518	na	na	na	259	754	na	na	0	na	235	404	na	141	na	na	16	92	na	0	na	na	1107	175	na	658	na	na	296
ENSG00000070388.12	na	na	na	na	0	na	na	0	36	55	na	63	77	na	na	0	40	0	94	41	0	0	na	na	na	0	na	na	232	14	0	0	na	na	0
ENSG00000070404.10	162	na	na	9	17	na	na	na	59	62	40	na	25	15	na	na	11	na	32	na	na	na	na	na	13	na	na	na	19	na	na	35	na	na	14
ENSG00000071859.15	na	51	84	na	0	na	17	0	na	65	83	na	156	3	na	11	na	na	64	0	61	29	26	22	103	249	na	148	89	na	45	na	na	na	157
ENSG00000073067.14	1132	12	264	159	33	na	430	0	na	32	429	na	na	168	0	85	230	134	168	376	0	36	na	na	17	64	0	1081	736	100	na	13	na	na	0
ENSG00000073150.14	0	79	0	0	44	na	0	639	136	0	197	0	313	381	0	0	0	0	0	0	347	220	47	0	92	671	293	194	395	0	0	177	23	0	646
ENSG00000073598.6	1865	0	524	817	1124	1316	1625	1826	283	0	785	0	1306	1635	1893	0	0	840	1046	1335	1615	1927	262	508	797	0	1405	1607	1899	0	526	789	1087	1286	1603
ENSG00000077009.14	1113	22	26	0	0	na	197	33	57	102	81	0	334	0	158	0	85	151	107	213	203	67	14	18	20	33	138	131	0	na	24	9	179	na	297
ENSG00000078401.7	1823	238	681	0	1444	na	0	1800	243	0	749	0	1667	1946	0	232	486	739	1297	1332	1481	0	349	0	986	1388	1755	0	2235	342	659	0	1394	1308	1963
ENSG00000078804.13	196	50	160	32	295	na	38	102	na	17	340	117	471	829	307	93	81	127	150	497	64	0	163	82	141	104	34	189	199	54	115	289	33	na	198
ENSG00000080511.5	0	na	285	78	25	na	366	339	0	65	0	201	136	162	370	65	6	22	122	86	na	na	143	96	89	38	380	na	na	na	96	205	na	na	125
ENSG00000081721.12	749	30	28	0	0	6	291	324	24	na	71	42	541	na	0	0	0	22	149	na	409	713	na	132	24	801	na	0	705	na	174	0	12	20	na
ENSG00000083812.13	1177	31	12	2	135	na	271	na	na	na	111	na	316	145	495	35	152	33	168	210	113	9	na	na	na	82	591	na	25	22	255	24	136	425	na
ENSG00000083838.17	67	70	na	97	13	na	na	346	na	13	130	51	na	22	9	69	27	169	na	0	100	767	na	74	522	na	659	184	na	54	55	10	344	na	na
ENSG00000083845.9	52	25	1	na	1	na	608	388	na	327	24	44	na	18	196	69	na	61	38	29	7	0	120	37	32	0	28	168	98	na	85	96	128	na	218
ENSG00000084207.18	na	3	54	233	81	na	84	142	38	61	83	135	64	61	197	16	195	14	40	na	47	459	na	na	19	32	16	na	83	na	3	77	na	na	na
ENSG00000086159.14	307	52	na	106	46	253	423	933	181	206	360	405	190	205	1194	173	78	147	70	645	498	na	na	176	na	na	na	206	159	119	na	66	21	217	138
ENSG00000086506.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087074.9	294	35	na	na	na	na	na	377	na	35	na	36	214	na	na	na	30	13	na	na	297	20	na	na	29	na	281	125	138	34	na	41	na	na	156
ENSG00000087077.14	309	0	30	na	31	na	21	108	na	na	54	1	363	7	1	3	5	0	209	660	39	91	na	na	na	15	50	36	169	na	67	56	0	na	152
ENSG00000087086.15	0	0	584	914	1233	na	0	2087	330	0	921	1233	1066	1854	2221	295	637	0	1227	1553	2	2167	295	604	0	1229	1557	0	2170	306	0	904	1212	na	0
ENSG00000087250.9	79	35	14	0	na	na	51	na	na	na	0	0	126	0	0	na	0	na	4	92	na	33	0	na	0	0	78	0	411	16	na	0	na	na	0
ENSG00000087510.7	na	14	na	na	282	na	578	na	70	0	na	289	588	na	na	na	na	na	651	0	na	na	128	0	na	0	na	1172	1709	na	na	na	na	na	1003
ENSG00000088320.4	1856	0	519	776	1099	na	1420	2014	283	546	0	1050	1204	1665	1973	278	0	0	0	1408	1416	0	0	363	0	1095	1448	0	0	162	560	853	1027	1399	1029
